Date,Time,PM 10,PM 2.5,Lat,Lon
2019-03-13,10:50:18,28.02,7.47,,
2019-03-13,10:50:55,37,9,,
2019-03-13,10:51:32,43.53,8.88,,
2019-03-13,10:52:09,27.92,8.57,,
2019-03-13,10:52:46,40.95,9.75,,
2019-03-13,10:53:23,35.63,8.75,,
2019-03-13,10:54:02,39.55,9.2,,
2019-03-13,10:54:39,30.85,8.82,,
2019-03-13,10:55:17,41.8,8.85,,
2019-03-13,10:55:54,29.87,8.02,,
2019-03-13,10:56:30,29.4,8.6,,
2019-03-13,10:57:08,47.95,9.63,,
2019-03-13,10:57:45,43.17,9.13,,
2019-03-13,10:58:22,35.08,8.45,,
2019-03-13,10:59:16,27.08,7.72,,
2019-03-13,10:59:55,23.42,7.75,,
2019-03-13,11:00:36,31.62,7.75,,
2019-03-13,11:01:50,37.78,8.3,,
2019-03-13,11:02:28,31.65,8.4,,
2019-03-13,11:03:08,31.48,7.85,,
2019-03-13,11:03:48,34.8,7.93,,
2019-03-13,11:04:27,35.65,7.4,,
2019-03-13,11:05:04,34.17,7.72,,
2019-03-13,11:05:43,35.33,7.73,,
2019-03-13,11:06:22,32.95,7.87,,
2019-03-13,11:07:06,41.15,6.87,,
2019-03-13,11:07:46,28.58,7.62,,
2019-03-13,11:08:25,28.45,7.35,,
2019-03-13,11:09:04,31.05,7.25,,
2019-03-13,11:09:44,25.9,8.23,,
2019-03-13,11:10:22,32.5,7.62,,
2019-03-13,11:11:02,23.87,6.6,,
2019-03-13,11:11:42,29.95,7.82,,
2019-03-13,11:13:15,44.08,7.87,,
2019-03-13,11:14:28,24.2,7.28,,
2019-03-13,11:15:14,27.52,7.7,,
2019-03-13,11:15:53,285.23,33.63,,
2019-03-13,11:16:31,29.67,9.38,,
2019-03-13,11:17:08,32.45,9.55,,
2019-03-13,11:17:45,31.65,8.02,,
2019-03-13,11:18:38,38.88,9.05,,
2019-03-13,11:19:15,32.78,8.43,,
2019-03-13,11:27:34,35.67,11.23,,
2019-03-13,11:29:20,43.38,13.95,,
2019-03-13,11:29:57,28.05,10.27,,
2019-03-13,11:30:36,38.95,12.07,,
2019-03-13,11:31:13,33.08,13.3,,
2019-03-13,11:31:51,33.55,9.43,,
2019-03-13,11:32:29,29.35,8.52,,
2019-03-13,11:33:07,35.45,9.7,,
2019-03-13,11:35:14,31.43,9.4,,
2019-03-13,11:38:02,37.35,9.95,,
2019-03-13,11:38:39,44.85,10.27,,
2019-03-13,11:39:16,36.1,9.75,,
2019-03-13,11:39:53,34.55,8.38,,
2019-03-13,11:40:31,32.1,9.4,,
2019-03-13,11:41:08,34.7,10.2,,
2019-03-13,11:41:46,40.45,9.9,,
2019-03-13,11:42:24,36.13,9.32,,
2019-03-13,11:43:03,36.58,9.38,,
2019-03-13,11:43:42,39,11.7,,
2019-03-13,11:44:22,43.22,9.8,,
2019-03-13,11:45:00,36.47,9.5,,
2019-03-13,11:45:40,34.74,9.46,,